actor/loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
37.575016,1.5787427,-38.22585,0.99999446,0.22573607,-1.0,250,0.60005605,50,50.0,50,5,0.0,-1.602895,-73.967064,-127.233444,5,59.047184,1.0,0.1342671,-1.0,1000,0.7813671,50,50.0,50,400,0.0,-0.9959288998506963,-149.84660506324377,-354.21954691410065,400,78.39636533170876,4400.0,74.92300629615784,20000.0,11.0,729.5448348522186,220000.0,266.9407033794589,11000.0
38.20836,1.6225364,-38.78587,1.0,0.35083607,-1.0,250,0.6411609,50,50.0,50,5,0.0,-1.6591339,-116.1272,-232.73367,5,100.15288,1.0,0.080673814,-1.0,1000,0.7645965,50,50.0,50,400,0.0,-0.12044685667206068,-140.4914371946892,-355.26126503944397,400,76.34315974871292,4800.0,73.0799572467804,20000.0,12.0,802.705507516861,240000.0,273.67284756972293,12000.0
39.46313,1.5691167,-40.008854,1.0,0.32398114,-1.0,250,0.7234465,50,50.0,50,5,0.0,-117.3111,-208.48813,-352.6036,5,87.32766,1.0,0.16599426,-1.0,1000,0.73945796,50,50.0,50,400,0.0,-1.3163122767582536,-147.55451573901402,-330.55204570293427,400,77.98474634350129,5200.0,75.85574173927307,20000.0,13.0,878.6379945278168,260000.0,263.65835388892293,13000.0
40.42279,1.6196454,-40.945786,1.0,0.2224262,-1.0,250,0.63156146,50,50.0,50,5,0.0,-116.57016,-140.59268,-218.57286,5,39.13739,1.0,0.17429946,-1.0,1000,0.71495414,50,50.0,50,400,0.0,-0.4639594848267734,-137.23302132473444,-333.17317920923233,400,74.06819344211917,5600.0,76.27074241638184,20000.0,14.0,954.9916806221008,280000.0,262.2237487976031,14000.0
39.078266,1.5164356,-39.57372,1.0,0.21008989,-1.0,250,0.72271943,50,50.0,50,5,0.0,-114.264046,-166.21445,-250.12697,5,60.231766,1.0,0.11939437,-1.0,1000,0.7037155,50,50.0,50,400,0.0,-0.22807741281576455,-135.79217247362467,-357.07929611206055,400,76.29007509373874,6000.0,75.4878089427948,20000.0,15.0,1030.5638418197632,300000.0,264.94344292276577,15000.0
39.096596,1.5364848,-39.5458,1.0,-0.027312737,-1.0,250,0.8971676,50,50.0,50,5,0.0,-1.2825937,-140.9556,-234.3922,5,84.73435,1.0,0.019326258,-1.0,1000,0.8083329,50,50.0,50,400,0.0,-0.17837691030581482,-135.37697454402786,-340.50120878219604,400,78.42287188778576,6400.0,72.89001822471619,20000.0,16.0,1103.53089761734,320000.0,274.3859925832509,16000.0
39.336765,1.4861835,-39.78146,1.0,-0.10954715,-1.0,250,0.65412414,50,50.0,50,5,0.0,-0.5883773,-121.61224,-249.08653,5,78.693115,1.0,-0.046922866,-1.0,1000,0.7684384,50,50.0,50,400,0.0,-0.30272099759895355,-142.58021779972972,-380.71525859832764,400,77.60696757266346,6800.0,76.06822466850281,20000.0,17.0,1179.6689274311066,340000.0,262.92187161141015,17000.0
38.740166,1.5077316,-39.167915,1.0,-0.003879654,-1.0,250,0.6027764,50,50.0,50,5,0.0,-0.8455353,-119.4034,-230.14117,5,72.63251,1.0,-0.031744484,-1.0,1000,0.7165912,50,50.0,50,400,0.0,-0.041354619464982534,-143.7425728258292,-347.13693487644196,400,73.39941730013811,7200.0,74.6719114780426,20000.0,18.0,1254.4139771461487,360000.0,267.8383290868486,18000.0
37.2043,1.5448129,-37.653812,1.0,-0.17397255,-1.0,250,0.8663617,50,50.0,50,5,0.0,-117.639915,-144.53592,-233.4068,5,44.534557,1.0,-0.07318567,-1.0,1000,0.8000285,50,50.0,50,400,0.0,-0.35067076003178954,-135.6248008000838,-332.82630637288094,400,76.28182918533116,7600.0,75.27025651931763,20000.0,19.0,1329.7569766044617,380000.0,265.70920473569964,19000.0
36.99839,1.5110879,-37.383804,1.0,-0.10639492,-1.0,250,0.87801206,50,50.0,50,5,0.0,-1.950282,-150.58846,-261.94125,5,94.45391,1.0,-0.05672258,-1.0,1000,0.8567412,50,50.0,50,400,0.0,-0.35582123592030257,-147.01914645962475,-341.94955039024353,400,80.74319141961985,8000.0,72.93043065071106,20000.0,20.0,1402.761281490326,400000.0,274.23394900527717,20000.0
